	ERX284466_ERR311185	ERX284470_ERR311189	ERX284472_ERR311191	ERX388947_ERR422654	ERX388948_ERR422655	SAMN12610744	SAMN12611509	SRX1144605_SRR2168393	SRX1154245_SRR2158266	SRX1592101_SRR3177738	SRX1592162_SRR3177739	SRX1592163_SRR3177740	SRX1592164_SRR3177741	SRX1592165_SRR3177742	SRX1592166_SRR3177743	SRX1592171_SRR3177744	SRX1592177_SRR3177745	SRX1592186_SRR3177746	SRX1592214_SRR3177750	SRX1592224_SRR3177751	SRX1592230_SRR3177752	SRX1592245_SRR3177753	SRX1592271_SRR3177757	SRX1592280_SRR3177759	SRX1592286_SRR3177760	SRX1592295_SRR3177763	SRX1592307_SRR3177765	SRX1592314_SRR3177768	SRX1592320_SRR3177775	SRX1592323_SRR3177790	SRX1592325_SRR3177803	SRX1592328_SRR3177805	SRX1592336_SRR3177862	SRX1592340_SRR3177890	SRX1592341_SRR3177900	SRX1592343_SRR3177903	SRX1592345_SRR3177919	SRX1592347_SRR3177927	SRX1592348_SRR3177928	SRX1592349_SRR3177929	SRX1592350_SRR3177930	SRX1592352_SRR3177932	SRX1592354_SRR3177934	SRX1592355_SRR3177935	SRX1592356_SRR3177936	SRX1592357_SRR3177937	SRX1592358_SRR3177946	SRX1592368_SRR3177947	SRX1592380_SRR3177949	SRX1592388_SRR3177950	SRX1592392_SRR3177951	SRX1592415_SRR3177974	SRX1592419_SRR3177990	SRX1592425_SRR3178009	SRX1592426_SRR3178010	SRX1592436_SRR3178016	SRX1592437_SRR3178017	SRX1592440_SRR3178018	SRX982618_SRR1957168	SRX982619_SRR1957169	SRX982621_SRR1957171	SRX982624_SRR1957174	SRX982625_SRR1957175	SRX982628_SRR1957178
SRX1592349_SRR3177929	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69683	0.69386	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.93527	1.0	1.0	1.0	1.0	1.0	1.0	0.94881	1.0	1.0	0.80218	1.0	1.0	0.75826	0.0	0.00958	1.0	0.72457	1.0	0.80383	0.80284	1.0	0.70079	1.0	1.0	1.0	0.80218	1.0	0.80218	1.0	1.0	1.0	1.0	1.0	1.0	0.70244	1.0	1.0	0.70211
SRX1592350_SRR3177930	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69749	0.69452	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.93659	1.0	1.0	1.0	1.0	1.0	1.0	0.94914	1.0	1.0	0.80317	1.0	1.0	0.75727	0.00958	0.0	1.0	0.72391	1.0	0.80284	0.80383	1.0	0.69848	1.0	1.0	1.0	0.80119	1.0	0.80317	1.0	1.0	1.0	1.0	1.0	1.0	0.70343	1.0	1.0	0.70178
SRX1592352_SRR3177932	0.99141	1.0	1.0	1.0	1.0	0.05086	0.06737	1.0	1.0	0.00165	0.00462	0.00297	0.0033	0.0033	0.00297	0.00198	0.99108	0.00198	0.99174	0.73052	0.99075	0.99108	0.04161	0.0033	0.00462	1.0	0.0033	0.00429	0.00363	0.0033	0.00264	0.00528	1.0	0.00264	0.99075	1.0	0.80647	0.00396	1.0	1.0	1.0	0.0	1.0	0.00297	1.0	1.0	0.00264	1.0	0.00231	0.99273	0.00264	1.0	0.99273	1.0	0.00429	0.00627	0.00528	0.00363	0.99108	0.00297	1.0	0.00297	0.00264	1.0
SRX1592354_SRR3177934	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6889	0.69188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.93098	1.0	1.0	1.0	1.0	1.0	1.0	0.9465	1.0	1.0	0.71565	1.0	1.0	0.68692	0.72457	0.72391	1.0	0.0	1.0	0.71367	0.71499	1.0	0.6889	1.0	1.0	1.0	0.71466	1.0	0.71598	1.0	1.0	1.0	1.0	1.0	1.0	0.68956	1.0	1.0	0.68857
SRX1592355_SRR3177935	0.99141	0.99967	0.99967	0.99967	0.99967	0.05086	0.06737	1.0	1.0	0.00231	0.00495	0.00198	0.00297	0.0033	0.00231	0.00264	0.99108	0.00198	0.99174	0.73052	0.99075	0.99108	0.04293	0.0033	0.00561	1.0	0.00264	0.00594	0.0033	0.00396	0.0033	0.00594	1.0	0.00264	0.99075	1.0	0.80647	0.00297	1.0	1.0	1.0	0.00297	1.0	0.0	1.0	1.0	0.00264	1.0	0.00165	0.99273	0.00264	1.0	0.99273	1.0	0.00561	0.00727	0.00694	0.00363	0.99108	0.00264	1.0	0.00363	0.00462	1.0
SRX1592356_SRR3177936	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.61096	0.61096	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.95674	1.0	1.0	1.0	1.0	1.0	1.0	0.9465	1.0	1.0	0.02378	1.0	1.0	0.74141	0.80383	0.80284	1.0	0.71367	1.0	0.0	0.02279	1.0	0.59974	1.0	1.0	1.0	0.01585	1.0	0.0251	1.0	1.0	1.0	1.0	1.0	1.0	0.60139	1.0	1.0	0.60172
SRX1592357_SRR3177937	1.0	0.99967	0.99967	0.99967	0.99967	1.0	1.0	0.60997	0.61063	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.95641	1.0	1.0	1.0	1.0	1.0	1.0	0.94683	1.0	1.0	0.0284	1.0	1.0	0.74306	0.80284	0.80383	1.0	0.71499	1.0	0.02279	0.0	1.0	0.60106	1.0	1.0	1.0	0.0175	1.0	0.01948	1.0	1.0	1.0	1.0	1.0	1.0	0.59941	1.0	1.0	0.6004
SRX1592358_SRR3177946	0.99141	0.99967	0.99967	0.99967	0.99967	0.05053	0.0677	1.0	1.0	0.00165	0.00627	0.00396	0.00429	0.00264	0.00231	0.00165	0.99108	0.00132	0.99174	0.73018	0.99075	0.99108	0.04227	0.0033	0.00495	1.0	0.00198	0.00462	0.00396	0.00297	0.00264	0.00528	1.0	0.00264	0.99075	1.0	0.80647	0.00495	1.0	1.0	1.0	0.00264	1.0	0.00264	1.0	1.0	0.0	1.0	0.00165	0.99273	0.00198	1.0	0.99273	1.0	0.00429	0.00793	0.00594	0.00231	0.99108	0.00396	1.0	0.0033	0.00264	1.0
SRX1592368_SRR3177947	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0317	0.03104	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94089	1.0	1.0	1.0	1.0	1.0	1.0	0.929	1.0	1.0	0.60172	1.0	1.0	0.63838	0.70079	0.69848	1.0	0.6889	1.0	0.59974	0.60106	1.0	0.0	1.0	1.0	1.0	0.59841	1.0	0.60337	1.0	1.0	1.0	1.0	1.0	1.0	0.01222	1.0	1.0	0.01255
SRX1592380_SRR3177949	0.99141	1.0	1.0	1.0	1.0	0.0502	0.06737	1.0	1.0	0.00132	0.00528	0.00297	0.0033	0.00231	0.00132	0.00165	0.99108	0.00099	0.99174	0.73018	0.99075	0.99108	0.04194	0.00231	0.00462	1.0	0.00165	0.00528	0.00363	0.00231	0.00231	0.00429	1.0	0.00099	0.99075	1.0	0.8068	0.00396	1.0	1.0	1.0	0.00231	1.0	0.00165	1.0	1.0	0.00165	1.0	0.0	0.99273	0.00165	1.0	0.99273	1.0	0.00396	0.0076	0.00561	0.00198	0.99108	0.00297	1.0	0.00198	0.00297	1.0
SRX1592388_SRR3177950	0.48085	0.9607	0.9607	0.9607	0.9607	0.99273	0.99306	1.0	1.0	0.99273	0.99273	0.99273	0.99273	0.99273	0.99273	0.99273	0.50627	0.99273	0.44584	0.99075	0.47721	0.50429	0.99306	0.99273	0.99273	1.0	0.99273	0.99273	0.99273	0.99273	0.99273	0.99273	1.0	0.99273	0.47523	1.0	0.99207	0.99273	1.0	1.0	1.0	0.99273	1.0	0.99273	1.0	1.0	0.99273	1.0	0.99273	0.0	0.99273	1.0	0.44551	1.0	0.99273	0.99273	0.99273	0.99273	0.48151	0.99273	1.0	0.99273	0.99273	1.0
SRX1592392_SRR3177951	0.99141	1.0	1.0	1.0	1.0	0.0502	0.0677	1.0	1.0	0.00099	0.00561	0.0033	0.00363	0.00198	0.00231	0.00231	0.99108	0.00132	0.99174	0.73018	0.99075	0.99108	0.04293	0.0033	0.00462	1.0	0.00132	0.00495	0.00462	0.00396	0.00198	0.00462	1.0	0.00198	0.99075	1.0	0.80647	0.00429	1.0	1.0	1.0	0.00264	1.0	0.00264	1.0	1.0	0.00198	1.0	0.00165	0.99273	0.0	1.0	0.99273	1.0	0.00429	0.00793	0.00727	0.00231	0.99108	0.00396	1.0	0.00297	0.00396	1.0
SRX1592415_SRR3177974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.61262	0.61063	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.95707	1.0	1.0	1.0	1.0	1.0	1.0	0.94617	1.0	1.0	0.02576	1.0	1.0	0.74075	0.80218	0.80119	1.0	0.71466	1.0	0.01585	0.0175	1.0	0.59841	1.0	1.0	1.0	0.0	1.0	0.01585	1.0	1.0	1.0	1.0	1.0	1.0	0.60139	1.0	1.0	0.60238
SRX1592419_SRR3177990	0.49273	0.99538	0.99538	0.99538	0.99538	0.99207	0.99207	1.0	1.0	0.99273	0.99273	0.99273	0.99273	0.99273	0.99273	0.99273	0.48316	0.99273	0.47754	0.99042	0.46697	0.48151	0.99306	0.99273	0.99273	1.0	0.99273	0.99273	0.9924	0.99273	0.99273	0.9924	1.0	0.99273	0.46466	1.0	0.99174	0.99273	1.0	1.0	1.0	0.99273	1.0	0.99273	1.0	1.0	0.99273	1.0	0.99273	0.44551	0.99273	1.0	0.0	1.0	0.9924	0.99273	0.99273	0.99273	0.47028	0.99273	1.0	0.99273	0.99273	1.0
SRX1592425_SRR3178009	1.0	0.99868	0.99868	0.99868	0.99868	0.99967	0.99967	0.61295	0.61096	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.95641	1.0	1.0	1.0	1.0	1.0	1.0	0.9465	1.0	1.0	0.02873	1.0	1.0	0.74273	0.80218	0.80317	1.0	0.71598	1.0	0.0251	0.01948	1.0	0.60337	1.0	1.0	1.0	0.01585	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.60238	1.0	1.0	0.60271
SRX1592426_SRR3178010	0.99141	0.99934	0.99934	0.99934	0.99934	0.05218	0.0677	1.0	1.0	0.00396	0.00727	0.00495	0.00594	0.00429	0.00528	0.00396	0.99108	0.00363	0.99141	0.73018	0.99075	0.99108	0.04326	0.00561	0.00627	1.0	0.00429	0.00727	0.00495	0.00429	0.00429	0.00528	1.0	0.00363	0.99075	1.0	0.80647	0.00661	1.0	1.0	1.0	0.00429	1.0	0.00561	1.0	1.0	0.00429	1.0	0.00396	0.99273	0.00429	1.0	0.9924	1.0	0.0	0.00958	0.00694	0.00462	0.99108	0.00561	1.0	0.00462	0.00561	1.0
SRX1592436_SRR3178016	0.99141	0.99901	0.99901	0.99901	0.99901	0.05416	0.07067	1.0	1.0	0.0076	0.00958	0.00661	0.00694	0.00859	0.00793	0.00727	0.99108	0.00727	0.99174	0.73052	0.99075	0.99108	0.04557	0.00661	0.00892	1.0	0.00859	0.00892	0.00661	0.00727	0.00859	0.00991	1.0	0.0076	0.99075	1.0	0.80713	0.00892	1.0	1.0	1.0	0.00627	1.0	0.00727	1.0	1.0	0.00793	1.0	0.0076	0.99273	0.00793	1.0	0.99273	1.0	0.00958	0.0	0.00991	0.00892	0.99108	0.00594	1.0	0.00793	0.00694	1.0
SRX1592437_SRR3178017	0.99141	0.99901	0.99901	0.99901	0.99901	0.05449	0.07001	1.0	1.0	0.00627	0.00859	0.00627	0.00727	0.00727	0.00694	0.00594	0.99108	0.00594	0.99174	0.73052	0.99075	0.99108	0.04557	0.00661	0.00892	1.0	0.00727	0.00826	0.00694	0.00594	0.00727	0.00859	1.0	0.00561	0.99075	1.0	0.80746	0.00793	1.0	1.0	1.0	0.00528	1.0	0.00694	1.0	1.0	0.00594	1.0	0.00561	0.99273	0.00727	1.0	0.99273	1.0	0.00694	0.00991	0.0	0.00694	0.99108	0.00694	1.0	0.00627	0.00594	1.0
SRX1592440_SRR3178018	0.99141	1.0	1.0	1.0	1.0	0.05086	0.0677	1.0	1.0	0.00264	0.00727	0.00495	0.00528	0.00297	0.00264	0.0033	0.99108	0.00231	0.99174	0.73052	0.99075	0.99108	0.04392	0.00363	0.00528	1.0	0.00231	0.00594	0.00561	0.00363	0.00363	0.00495	1.0	0.00231	0.99075	1.0	0.8068	0.00594	1.0	1.0	1.0	0.00363	1.0	0.00363	1.0	1.0	0.00231	1.0	0.00198	0.99273	0.00231	1.0	0.99273	1.0	0.00462	0.00892	0.00694	0.0	0.99108	0.00495	1.0	0.00396	0.00363	1.0
SRX982618_SRR1957168	0.43527	0.9782	0.9782	0.9782	0.9782	0.99108	0.99141	1.0	1.0	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	0.4683	0.99108	0.41116	0.99075	0.04161	0.46433	0.99174	0.99108	0.99108	0.99934	0.99108	0.99108	0.99108	0.99108	0.99108	0.99108	1.0	0.99108	0.03633	1.0	0.99273	0.99108	1.0	1.0	1.0	0.99108	1.0	0.99108	1.0	1.0	0.99108	1.0	0.99108	0.48151	0.99108	1.0	0.47028	1.0	0.99108	0.99108	0.99108	0.99108	0.0	0.99108	1.0	0.99108	0.99108	1.0
SRX982619_SRR1957169	0.99141	0.99934	0.99934	0.99934	0.99934	0.05086	0.06638	1.0	1.0	0.00297	0.00462	0.00264	0.00297	0.00396	0.00363	0.0033	0.99108	0.00264	0.99174	0.72985	0.99075	0.99108	0.04161	0.00264	0.00429	1.0	0.00396	0.00528	0.00264	0.00264	0.00396	0.00528	1.0	0.0033	0.99075	1.0	0.8068	0.00429	1.0	1.0	1.0	0.00297	1.0	0.00264	1.0	1.0	0.00396	1.0	0.00297	0.99273	0.00396	1.0	0.99273	1.0	0.00561	0.00594	0.00694	0.00495	0.99108	0.0	1.0	0.00363	0.00396	1.0
SRX982621_SRR1957171	1.0	0.99967	0.99967	0.99967	0.99967	1.0	1.0	0.03236	0.03369	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94221	1.0	1.0	1.0	1.0	1.0	1.0	0.929	1.0	1.0	0.59974	1.0	1.0	0.63904	0.70244	0.70343	1.0	0.68956	1.0	0.60139	0.59941	1.0	0.01222	1.0	1.0	1.0	0.60139	1.0	0.60238	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0142
SRX982624_SRR1957174	0.99141	1.0	1.0	1.0	1.0	0.05152	0.06869	1.0	1.0	0.00264	0.00594	0.00429	0.00462	0.00429	0.0033	0.00363	0.99108	0.00297	0.99174	0.72985	0.99075	0.99108	0.04194	0.00297	0.00495	1.0	0.00363	0.00396	0.00429	0.00165	0.00297	0.00429	1.0	0.00264	0.99075	1.0	0.80713	0.00528	1.0	1.0	1.0	0.00297	1.0	0.00363	1.0	1.0	0.0033	1.0	0.00198	0.99273	0.00297	1.0	0.99273	1.0	0.00462	0.00793	0.00627	0.00396	0.99108	0.00363	1.0	0.0	0.00198	1.0
SRX982625_SRR1957175	0.99141	0.99967	0.99967	0.99967	0.99967	0.05119	0.06836	1.0	1.0	0.00363	0.00694	0.00528	0.00561	0.00528	0.00429	0.00396	0.99108	0.00396	0.99174	0.72952	0.99075	0.99108	0.04227	0.0033	0.00528	1.0	0.00462	0.00396	0.00396	0.00231	0.00462	0.00462	1.0	0.00363	0.99075	1.0	0.80713	0.00627	1.0	1.0	1.0	0.00264	1.0	0.00462	1.0	1.0	0.00264	1.0	0.00297	0.99273	0.00396	1.0	0.99273	1.0	0.00561	0.00694	0.00594	0.00363	0.99108	0.00396	1.0	0.00198	0.0	1.0
SRX982628_SRR1957178	1.0	0.99967	0.99967	0.99967	0.99967	1.0	1.0	0.03203	0.03137	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94055	1.0	1.0	1.0	1.0	1.0	1.0	0.92966	1.0	1.0	0.59974	1.0	1.0	0.64036	0.70211	0.70178	1.0	0.68857	1.0	0.60172	0.6004	1.0	0.01255	1.0	1.0	1.0	0.60238	1.0	0.60271	1.0	1.0	1.0	1.0	1.0	1.0	0.0142	1.0	1.0	0.0
